# ******* Тестовое задание на Junior Python Developer ********
# 
# 
# В этом файле находятся строки с переводом английских слов на русские в формате
# Astur-Leonese ; Asturian ; Asturian-Leonese ; Astur	астурийский ; астурлеонский
#
# Это значит, что каждое из английских слов (Astur-Leonese ; Asturian ; Asturian-Leonese ; Astur) может переводиться как любое русское (астурийский ; астурлеонский)
#
# Также встречаются простые варианты где в строке 1 английское и русское слово
# Abidjan	Абиджан
# 
# Английские слова отделены от русских переводов символом табуляции
# 
# Надо распарсить этот файл и на базе него сделать 2 файла - English.txt и Russian txt, где каждой строке на английском будет соответствовать строка перевода на русском в другом файле во всех возможных вариантах.
# 
# Пример текста, который должен получиться в файлах, после работы вашего кода:
# 
# English.txt				Russian.txt		
#	
# Astur-Leonese				астурийский
# Astur-Leonese				астурлеонский
# Asturian				    астурийский
# Asturian				    астурлеонский
# Asturian-Leonese			астурийский
# Asturian-Leonese			астурлеонский
# ....						....
#
# Код который вы напишите присылайте на alexeir@lingvanex.com
#
#



9 ; nine	девять ; девять
damage from military manoeuvres	ущерб от военных маневров
damage insurance	страхование от ущерба
damage prevention	предотвращение ущерба
dance	танец
dandelion	одуванчик
danger analysis	анализ опасности
dangerous goods	опасные товары
dangerous goods law	законы в области использования опасных товаров
dangerous goods regulation	правила обращения с опасными товарами
dangerous installation	опасный объект
dangerous materials transport	транспортировка опасных материалов
darmstadtium	дармштадтий
data acquisition	получение данных
data analysis	анализ данных
data carrier	носитель данных
data centre	центр данных
data exchange	обмен данными
data on the state of the environment	данные о состоянии окружающей среды
data processing	обработка данных
data processing law	закон в области обработки данных и информации
data processing system	система обработка данных
data protection	защита данных
data recording technique	технология записи данных
database	база данных
dating	датирование
daughter	дочь
dazzle	ослеплять
de-inking	удаление типографской краски
deaf	глухой
death penalty ; capital punishment ; death sentence	смертная казн
debit	дебетовать
debt	долг
debt service	обслуживание долга (фин.-экон.)
decay product	продукт разложения
decentralisation	децентрализация
dechlorination	дехлорирование
decibel	децибел
deciduous forest ; deciduous wood	лиственный лес
deciduous tree	лиственное дерево
decision	решение
decision making support	поддержка процесса принятия решений
decision process	процесс принятия решения
decision-support system	система обеспечения принятия решений
declaration of public utility	объявление предприятием общественного назначения
decomposition	разложение
decontamination	дезактивация
decree	декрет
